Event Label,Position X [px],Position Y [px],Nuclei - Area [µm²],Nuclei - Signal Mean,Target - Signal Mean
E0001,1402.2,1377.1,258.1,383.3,913.9
E0002,825.7,1293.9,246.3,386,637.2
E0003,902.6,475.5,133.2,622.9,777.7
E0004,295.5,388.9,313.4,444.9,937.5
E0005,802.9,1113.4,147.4,599.7,788.6
E0006,269.3,1121,185.8,527.7,1567.9
E0007,677.8,1376.9,158.6,499.1,765.1
E0008,475.6,1189.8,173.5,326.9,781.8
E0009,174.3,200,190.5,415.5,1299.9
E0010,279.2,431.6,186.6,633.2,590.6
E0011,1094.6,292,178.7,711.4,932.8
E0012,617.8,1176.2,185.9,517.5,472.6
E0013,621.1,193.3,155.6,600,1606.3
E0014,720.5,193.6,154.7,840.3,839.9
E0015,641.2,108.4,109.4,924.2,769.6
E0016,204.7,79.7,160.5,431.7,544.2
E0017,1237,797.8,154.3,579.2,946.7
E0018,888.5,168.5,404.9,860.4,662.7
E0019,1191.6,1114.8,119.6,521.1,747.2
E0020,1153.5,1097,187.6,590.6,1695.8
,,,,,
